id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name,exp_length,quantile
64744b3c-ba8a-44cb-a4de-c9f40ee013fe,Exudation of plasma and Leucocytes in acute inflamation is from the -,Venules,Capillaries,Aerioles,Aerioles and capillaries,0,single,"Ans. is 'a' i.e., Venules Post capillary venules are an impoant point of interchange between the Lumen of the vessels and the surrounding tissue. Moreover both vascular leakage and Leucocyte exudation occur preferrentially in venules in many types of inflammation. Note - In lung the Leucocyte diapedesis also occur in Capillaries.",Pathology,,331,0
4284a795-07b6-4d2a-92bf-59f34fe76ffd,Type of inheritance of Tuberous sclerosis is?,Autosomal dominant,Autosomal Recessive,X Linked dominant,X Linked recessive,0,single,Robbins basic pathology 6th edition. Chapter the central nervous system. page no. 1354. Tuberous sclerosis is an autosomal dominant disorder characterised by development of hamaomas and bening neoplasms involving the brain and other tissues .,Pathology,General pathology,242,0
4506aae6-1645-42bf-a2fa-3b96ad9c1485,A patient presented with complains of chronic constipation and diarrhoea. There was excessive associated weight loss. Intestinal biopsy was obtained and it showed the following findings. What is your diagnosis?,Giardia,Entamoeba,Whipple's disease,CMV,0,single,Ans. (a) Giardiawww.ncbi.nihgov/pubmed/104699(Ref: )This image shows Giardia lamblia infection of the small intestine. The small pear-shaped trophozoites live in the duodenum and become infective cysts that are excreted. They produce a watery diarrhea. A useful test for diagnosis of infectious diarrheas is stool examination for ova and parasites.,Pathology,G.I.T.,348,0
5166c499-e063-460b-96dd-73a58836c42a,Stain used for tissue fungus study is -,PAS,Von kossa,Alizarin red,LPCB,0,single,"1- Lactophenol cotton blue stain 2- Fungi are very easily visualized in a PAS reaction with Schiff's reagent, this method now being a standard 3- PAS and methenamine silver staining for histological specimens",Pathology,miscellaneous,208,0
f6a4c9aa-bd3d-4649-83cc-50bc5e1f420e,A wedge shaped area in the adrenal gland is affected. On HPE nucleus is not seen but cellular outlines are intact. Which type of necrosis is being described?,Coagulative,Liquefactive,Fibrinoid,Caseous,0,single,Ans- Coagulative necrosis -Most common type of necrosis seen histologically -A localized area of coagulative necrosis is called an infarct. Ex: - Ischemia to all solid organs except BRAIN. Thermal injury Dry gangrene Zenker's degeneration (muscle necrosis in typhoid fever).,Pathology,Irreversible cell Injury/Necrosis,274,0
5d564b78-8cbf-4aee-ae5e-c5d293573b36,Mitochondrial abnormalities are seen in -a)  Oncocytomab)  Kearn-Sayre syndromec)  Faber diseased)  Mitochondrial myopathye)  Leigh's disease,abcd,bcde,acde,abde,3,single,"Mitochondrial myopathy, name itself says, involves mitochondrial DNA.
Oncocytomas are benign tumors characterized by dense accumulation of mitochondria. Oncocytomas occur in kidney, thyroid gland (Hurthle cell tumors), salivary gland and adrenal gland.
Faber disease is a lysosomal disease.",Pathology,,290,0
f745ba65-3599-4d35-9857-7e14768455f9,Bone tumour arising from metaphysis ?,Osteogenic sarcoma,Ewing sarcoma,Osteoclastoma,Osteiod osteoma,0,single,"Ans. is 'a' i.e., Osteogenic sarcomaMetaphvseal lesions Diaphyseal lesions o Osteogenic sarcoma o Ewing sarcomao Unicameral (simple) bone cyst o Lymphomaso Aneurysmal bone cyst o Fibrous dysplasiao Fibrous coical defect o AdamantinomaHistiocytosisOsteoid osteoma",Pathology,,262,0
77b0c2b7-bc14-4bfd-bbe7-da2067060081,Maximum unsaturated fatty acid is seen in,Mustard oil,Groundnut oil,Safflower oil,Coconut oil,2,single,"FatsPUFASafflower oil75Sunflower seed oil65Soya bean oil62Margarine 50Groundnut oil31Palm oil10Butter 3Coconut oil2(Refer: K. Park's Textbook of Preventive and Social Medicine, 24th edition, pg no: 649)",Pathology,All India exam,202,0
932d3005-4ebe-436f-8c00-4031da024d17,Patau syndrome due to,Trisomy 21,Trisomy 18,18 P,Trisomy l3,3,single,<p>PATAU SYNDROME:- Trisomy 13 47 XX Characteristic features:- 1. Microcephaly and mental retardation. 2. Microphthalmia 3. Cleft lip and palate. 4. Cardiac and renal defects 5. Umbilical hernia 6. Rocker bottom feet {Reference:Robbins basic pathology 9E pg no.248}</p>,Pathology,General pathology,269,0
344bfd7c-15fd-4487-9135-6cf2b7587f05,Cryoprecipitate is useful in?,Hemophilia A,Thrombosthenia,A fibrogenemi a,Warfarin reversal,2,single,"Ans. is 'c' i.e., Afibrogenemia Cryoprecipitate was originally developed for the treatment of hemophilia A. It is no longer the treatment of choice for that disorder because less infectious alternatives are available. At the present time, Cryoprecipitate is most often used for correction of hypofibrinogenemia in bleeding patients.",Pathology,,332,0
