,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name,exp_length,quantile
3788,34c05134-495c-4958-b119-4e7a760dfc5d,Role of macrophages in antibody production is?,Antigen presentation,B cell production,Class switching,B cell activation,0,single,"Ans. (a.) Antigen presentation(Ref: Robbins 9th/198)Macrophages that have phagocytosed microbes and protein antigens process the antigens and present peptide fragments to T cells. Upon activation, B lymphocytes proliferate and then differentiate into plasma cells that secrete different classes of antibodies with distinct functions",Pathology,Immunity,332,0
4342,a9c08579-1a3d-4cd5-8cb4-abf542af2cf4,Hereditary retinoblastoma develop as a result of which of the following chromosomal deletion?,13q 14,13p 14,14p 13,14q 13,0,single,"Hereditary retinoblastomas develop from the deletion of Rb gene, located on chromosome 13q14. Retinoblastoma gene is a tumor suppressor gene, which serves as a break on the advancement of cells from the G1 to S phase of cell cycle.Ref: Robbins Pathologic Basis of Disease, 7th Edition, Pages 287, 289, 1372.",Pathology,,307,0
574,f62de10a-2874-4e17-a616-ea94be87cd30,A 11-year-old boy came with history of cough for 15 days. On examination he was found to have cervical lymphadenopathy. The lymph node biopsy is shown below. Which of the following is the most appropriate diagnosis?,Tuberculosis,Leprosy,Sarcoidosis,Syphilis,0,single,"Cavitation occurs only in secondary tuberculosis. Both primary and secondary tuberculosis are characterized bycaseating granulomas, often with Langhans giant cells, which heal by scarring and calcification. The skin test result for tuberculin sensitivity is positive in both forms.",Pathology,NEET Jan 2020,281,0
876,b12fd27f-85d6-4b32-b59d-aea4201280cb,Source of vitamin B12?,Animal source,Plant source,Milk,Fruits,0,single,"Ans. (a) Animal SourceRef: Harrison / 640Only source of vitamin B12 for humans is food of animal origin, e.g., meat, fish, and dairy products.Vegetables, fruits, and other foods of non-animal origin are free from cobalamin unless they are contaminated by bacteria. Cobalamin is synthesized solely by microorganisms.",Pathology,Environment & Nutritional Pathology,315,0
4539,6b6997dd-d219-4677-bb2e-049e3f1344aa,Histologic sections of skin from an area of sunburn would most likely reveal:,Epidermal edema,Intraepidermal vesicles,Full-thickness epithelial necrosis,Partial dermal necrosis,0,single,"First-degree burns, such as with a sunburn, are mild and heal without scarring. Clinically, erythema is present, which is due to dilation of the capillaries in the dermis. Histologic sections of the skin would show epidermal edema and focal epithelial necrosis.",Pathology,,261,0
6098,0a36ce22-2d2a-41bc-8cbf-1df76c61d9b5,Salivary gland tumor exclusively seen in parotid gland,Wahin's tumor,Pleomorphic adenoma,Mucoepidermoid Ca,Adenoid cystic Ca,0,single,"Answer-A. Wahin's tumor""Wahin's tumor arises only in the parotid gland"" - Textbook of surgery""Wahin's tumor arises almost exclusively in the parotid gland (the only tumor viually restricted to the parotid)""Salivary gland tumor seen only it parotid gland- Wahins'tumor.",Pathology,,268,0
3848,14063a01-4133-47b6-aae2-347f1f7b0a23,Echinocytes are types of -,RBC's,Lymphocytes,Monocytes,Platelets,0,single,"Echinocytes commonly referred as Burr cells are red cells with morphological abnormalities.They are cell fragments having one or more spines.They are paicularly found in uraemia. Ref: Harsh Mohan textbook of pathology, 7th edition.Pg no.269,270",Pathology,Haematology,244,0
399,108ab257-4a62-4cb6-804b-a8fb57aedf1a,Lipoxins synthesized from arachidonic acid act by-,"Decrease leucocyte migration, adhesion, chemotaxis","Increase leucocyte migration, adhesion, chemotaxis",Vasoconstriction,Increased vascular permeability,0,single,"lopoxins are the metabolites produced lipooxygenase pathway. They act to regulate and counter Balance actions ad Leucotriens i:e, decreases leukocyte adhesion, migration and chemotaxis. .ref Robbins 9/e p46",Pathology,General pathology,206,0
3082,fcdaaef4-452d-46bc-844d-c1743de2a10f,Factors affecting sickling in sickle cell anemia are -,HbS concentration,HbA,pH,Oxygenation,0,single,"Formation of sickle cell depends on HbS concentration since HbS polymerises and grow beyond the RBC membrane ,prject through it. Referance: Exam preparatory manual for UGs -Pathology by Ramdas Nayak Page no:274 Robbins 9/e pg",Pathology,Haematology,225,0
1160,57f97522-8aa1-480c-ba87-bc911307f5d7,Apoptoic bodies are ?,Pyknotic nucleus with organelles,Opened up chromatin bodies,Membrane bound cytoplasm without organelles,Clumped chromatin bodies,0,single,Answer- A. Pyknotic nucleus with organellesImpoant apoptotic bodies are :-civatte bodies or colloid bodies in lichen planus.sunburn cellsKamino bodies in melanocytic lesionsSatellite dyskeratotic cellscouncilman bodies in acute viral hepatitisEosinophilic globulesTingible bodies (founds in macrophages) in lymphoma,Pathology,,315,0
